tempo_us,erro
14.134,0
2.951,0
2.882,0
2.885,0
2.886,0
2.885,0
2.908,0
2.905,0
2.922,0
2.884,0
2.88,0
2.883,0
2.883,0
2.893,0
2.887,0
2.885,0
2.912,0
2.904,0
2.922,0
2.885,0
2.886,0
2.885,0
2.886,0
2.884,0
2.884,0
2.883,0
2.907,0
2.902,0
2.922,0
2.885,0
2.882,0
2.885,0
2.882,0
2.885,0
2.886,0
2.885,0
2.908,0
2.907,0
2.927,0
2.885,0
2.886,0
2.884,0
2.885,0
2.882,0
2.885,0
2.884,0
2.905,0
2.903,0
2.922,0
2.884,0
2.884,0
2.883,0
2.884,0
2.883,0
2.886,0
2.888,0
2.911,0
2.907,0
2.931,0
2.885,0
2.887,0
2.888,0
2.886,0
2.885,0
2.886,0
2.885,0
2.948,0
2.908,0
2.923,0
2.885,0
2.886,0
2.885,0
2.886,0
2.885,0
2.886,0
2.883,0
2.908,0
2.903,0
2.924,0
2.888,0
2.886,0
2.885,0
2.889,0
2.885,0
2.886,0
2.885,0
2.914,0
2.906,0
2.925,0
2.885,0
2.887,0
2.885,0
2.891,0
2.887,0
2.886,0
2.885,0
2.913,0
2.905,0
2.925,0
2.885,0
2.886,0
2.893,0
2.887,0
2.885,0
2.886,0
2.89,0
2.911,0
2.914,0
2.925,0
2.885,0
2.886,0
2.885,0
2.886,0
2.885,0
2.887,0
2.885,0
2.911,0
2.916,0
2.931,0
2.885,0
2.888,0
2.885,0
2.882,0
2.887,0
2.887,0
2.885,0
2.914,0
2.907,0
2.92,0
2.885,0
2.882,0
2.893,0
2.891,0
2.891,0
2.891,0
2.891,0
2.917,0
2.906,0
2.923,0
2.893,0
2.889,0
2.887,0
2.886,0
2.885,0
2.89,0
2.885,0
2.908,0
2.906,0
2.927,0
2.885,0
2.882,0
2.885,0
2.886,0
2.887,0
2.882,0
2.885,0
2.909,0
2.906,0
2.93,0
2.885,0
2.891,0
2.893,0
2.887,0
2.891,0
2.882,0
2.888,0
2.914,0
2.905,0
2.925,0
2.888,0
2.886,0
2.887,0
2.887,0
2.885,0
2.882,0
2.885,0
2.911,0
2.912,0
2.93,0
2.885,0
2.882,0
2.885,0
2.887,0
2.885,0
2.882,0
2.888,0
2.913,0
2.904,0
2.925,0
2.892,0
2.89,0
2.887,0
2.89,0
2.885,0
2.892,0
2.885,0
2.913,0
2.909,0
2.93,0
2.885,0
2.886,0
2.885,0
2.887,0
2.885,0
2.882,0
2.885,0
2.913,0
2.903,0
2.922,0
2.888,0
2.887,0
2.885,0
2.886,0
2.885,0
2.886,0
2.89,0
2.914,0
2.907,0
2.924,0
2.885,0
2.886,0
2.885,0
2.886,0
2.885,0
2.886,0
2.89,0
2.909,0
2.906,0
2.922,0
2.885,0
2.889,0
2.885,0
2.884,0
2.888,0
2.887,0
2.885,0
2.911,0
2.91,0
2.922,0
2.885,0
2.882,0
2.887,0
2.882,0
2.885,0
2.882,0
2.885,0
2.913,0
2.904,0
2.925,0
2.885,0
2.882,0
2.883,0
2.88,0
2.883,0
2.885,0
2.884,0
2.908,0
2.907,0
2.924,0
2.884,0
2.886,0
2.884,0
2.886,0
2.885,0
2.886,0
2.885,0
2.911,0
2.903,0
2.922,0
2.885,0
2.882,0
2.885,0
2.888,0
2.892,0
2.886,0
2.888,0
2.96,0
2.912,0
2.931,0
2.89,0
2.887,0
2.885,0
2.891,0
2.888,0
2.882,0
2.888,0
2.951,0
2.908,0
2.926,0
2.885,0
2.882,0
2.886,0
2.895,0
2.89,0
2.89,0
2.893,0
2.952,0
2.918,0
2.929,0
2.891,0
2.894,0
2.892,0
2.891,0
2.891,0
2.891,0
2.896,0
2.95,0
2.913,0
2.933,0
2.893,0
2.891,0
2.894,0
2.902,0
2.894,0
2.898,0
2.9,0
2.96,0
2.924,0
2.933,0
2.902,0
2.898,0
2.902,0
2.903,0
2.896,0
2.899,0
2.892,0
2.958,0
2.918,0
2.933,0
2.891,0
2.897,0
2.897,0
2.897,0
2.892,0
2.893,0
2.893,0
2.931,0
2.917,0
2.928,0
2.898,0
2.898,0
2.897,0
2.894,0
2.895,0
2.896,0
2.893,0
3.973,0
2.92,0
2.942,0
2.899,0
2.899,0
2.897,0
2.897,0
2.896,0
2.9,0
2.893,0
2.916,0
2.913,0
2.937,0
2.901,0
2.898,0
2.894,0
2.892,0
2.893,0
2.896,0
2.898,0
2.96,0
2.925,0
2.937,0
2.897,0
2.893,0
2.894,0
2.9,0
2.892,0
2.899,0
2.898,0
3.969,0
2.921,0
2.933,0
2.891,0
2.897,0
2.893,0
2.898,0
2.892,0
2.899,0
2.889,0
2.952,0
2.916,0
2.935,0
2.893,0
2.894,0
2.897,0
2.896,0
2.896,0
2.897,0
2.892,0
2.951,0
2.914,0
2.936,0
2.896,0
2.898,0
2.892,0
2.89,0
2.893,0
2.893,0
2.891,0
2.959,0
2.915,0
2.931,0
2.891,0
2.893,0
2.893,0
2.894,0
2.893,0
2.894,0
2.891,0
2.952,0
2.92,0
2.936,0
2.893,0
2.894,0
2.891,0
2.891,0
2.893,0
2.89,0
2.888,0
3.969,0
2.914,0
2.926,0
2.887,0
2.894,0
2.887,0
2.885,0
2.889,0
2.887,0
2.891,0
2.949,0
2.909,0
2.926,0
2.889,0
2.882,0
2.889,0
2.887,0
2.893,0
2.891,0
2.89,0
2.956,0
2.917,0
2.925,0
2.893,0
2.89,0
2.893,0
2.887,0
2.887,0
2.889,0
2.888,0
2.954,0
2.914,0
2.924,0
2.885,0
2.887,0
2.885,0
2.887,0
2.886,0
2.882,0
2.885,0
2.955,0
2.908,0
2.927,0
2.885,0
2.882,0
2.891,0
2.887,0
2.885,0
2.887,0
2.887,0
2.946,0
2.905,0
2.927,0
2.885,0
2.882,0
2.885,0
